Date,Open,High,Low,Close
02/10/2025,"21,670.06","21,793.13","21,645.17","21,756.73"
02/07/2025,"21,776.28","21,869.32","21,465.46","21,491.31"
02/06/2025,"21,674.17","21,776.08","21,618.25","21,774.07"
02/05/2025,"21,453.87","21,662.98","21,408.64","21,658.16"
02/04/2025,"21,319.58","21,582.40","21,308.24","21,566.92"
02/03/2025,"21,084.64","21,406.58","21,004.35","21,297.58"
01/31/2025,"21,661.56","21,846.01","21,425.79","21,478.05"
01/30/2025,"21,519.81","21,623.45","21,308.69","21,508.12"
01/29/2025,"21,473.01","21,477.88","21,251.80","21,411.46"
01/28/2025,"21,186.08","21,500.73","21,043.13","21,463.04"
01/27/2025,"21,000.17","21,292.54","20,974.90","21,127.28"
01/24/2025,"21,915.48","21,945.48","21,709.06","21,774.01"
01/23/2025,"21,737.24","21,900.93","21,722.04","21,900.93"
01/22/2025,"21,756.23","21,943.04","21,756.23","21,853.00"
01/21/2025,"21,557.82","21,620.23","21,379.06","21,566.51"
01/17/2025,"21,461.90","21,515.76","21,334.63","21,441.15"
01/16/2025,"21,324.98","21,330.59","21,087.85","21,091.25"
01/15/2025,"21,067.81","21,286.01","21,024.27","21,237.85"
01/14/2025,"20,896.36","20,969.52","20,622.72","20,757.41"
01/13/2025,"20,593.65","20,797.10","20,538.33","20,784.72"
01/10/2025,"21,012.29","21,015.51","20,718.78","20,847.58"
01/08/2025,"21,156.76","21,242.61","20,992.08","21,180.96"
01/07/2025,"21,619.89","21,621.25","21,101.09","21,173.04"
01/06/2025,"21,551.18","21,703.49","21,462.52","21,559.50"
01/03/2025,"21,096.79","21,359.63","21,075.89","21,326.16"
01/02/2025,"21,120.06","21,236.59","20,800.50","20,975.62"
12/31/2024,"21,256.02","21,276.14","20,979.52","21,012.17"
12/30/2024,"21,189.10","21,346.06","21,046.63","21,197.09"
12/27/2024,"21,633.10","21,642.26","21,292.19","21,473.01"
12/26/2024,"21,733.98","21,837.70","21,645.62","21,768.31"
12/24/2024,"21,564.37","21,797.65","21,558.97","21,797.65"
12/23/2024,"21,364.26","21,510.09","21,224.27","21,503.17"
12/20/2024,"20,939.64","21,540.32","20,913.72","21,289.15"
12/19/2024,"21,358.79","21,413.74","21,093.46","21,110.51"
12/18/2024,"21,979.53","22,038.08","21,146.83","21,209.31"
12/17/2024,"22,003.64","22,062.00","21,921.21","22,001.08"
12/16/2024,"21,891.36","22,133.22","21,879.74","22,096.66"
12/13/2024,"21,789.65","21,886.74","21,646.09","21,780.25"
12/12/2024,"21,652.85","21,715.83","21,596.66","21,615.27"
12/11/2024,"21,540.38","21,784.72","21,533.89","21,763.98"
12/10/2024,"21,492.51","21,567.02","21,313.27","21,368.18"
12/09/2024,"21,573.76","21,609.99","21,400.77","21,440.82"
12/06/2024,"21,458.58","21,626.31","21,449.62","21,622.25"
12/05/2024,"21,488.52","21,517.49","21,411.53","21,425.22"
